"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2024","11.21","10.70","11.21","10.48","4.90M","2.56%"
"04/24/2024","10.93","10.16","10.94","10.16","4.83M","7.58%"
"04/23/2024","10.16","10.05","10.28","10.01","2.51M","1.50%"
"04/22/2024","10.01","10.41","10.44","10.01","3.26M","-3.93%"
"04/19/2024","10.42","10.20","10.49","10.20","2.46M","1.07%"
"04/18/2024","10.31","10.32","10.63","10.27","2.18M","0.10%"
"04/17/2024","10.30","10.44","10.59","10.30","2.10M","-0.68%"
"04/16/2024","10.37","10.00","10.55","9.95","4.16M","3.08%"
"04/15/2024","10.06","10.81","10.84","10.06","5.09M","-6.59%"
"04/12/2024","10.77","11.21","11.23","10.76","3.21M","-4.61%"
"04/11/2024","11.29","10.91","11.39","10.80","3.80M","4.06%"
"04/10/2024","10.85","10.90","11.07","10.75","3.55M","-1.45%"
"04/09/2024","11.01","10.85","11.18","10.73","3.51M","1.66%"
"04/08/2024","10.83","11.30","11.36","10.83","3.66M","-3.73%"
"04/05/2024","11.25","11.30","11.50","10.97","4.76M","-2.43%"
"04/04/2024","11.53","11.50","11.82","11.38","4.35M","1.32%"
"04/03/2024","11.38","11.22","11.50","10.90","4.33M","0.89%"
"04/02/2024","11.28","11.84","11.99","11.26","6.33M","-5.92%"
"04/01/2024","11.99","12.63","12.67","11.55","9.21M","-4.23%"
"03/28/2024","12.52","13.19","13.19","12.47","8.47M","-4.94%"
"03/27/2024","13.17","13.05","13.72","12.80","17.87M","-15.03%"
"03/26/2024","15.50","15.15","15.63","14.75","17.25M","2.51%"
"03/25/2024","15.12","13.42","15.15","13.31","10.42M","15.42%"
"03/22/2024","13.10","13.76","13.95","13.01","4.41M","-4.10%"
"03/21/2024","13.66","13.56","14.02","13.48","3.38M","1.34%"
"03/20/2024","13.48","13.47","13.79","13.21","3.92M","0.52%"
"03/19/2024","13.41","13.76","13.89","13.30","3.89M","-3.59%"
